age,age_group,screen_time_hours,screen_time_bucket,work_screen_hours,leisure_screen_hours,work_screen_ratio,work_leisure_ratio,is_outlier_screen_time,productivity_0_100,productivity_bucket,pred_productivity_reg,confidence_reg,pred_productivity_class,confidence_class,mental_wellness_index_0_100,sleep_hours,cluster_profile,missing_count
32,25-34,6.92,low,1.07,5.85,0.15462427745664742,0.18290598290598292,False,76.5,high,77.85525000000028,3.894498996982795,high,0.94,57.0,8.15,1,0
24,18-24,8.23,medium,0.45,7.78,0.05467800729040097,0.05784061696658098,False,65.1,high,65.70349999999986,5.474380124726457,high,0.885,30.6,8.01,1,0
32,25-34,7.88,medium,0.39,7.49,0.04949238578680203,0.0520694259012016,False,59.0,high,56.86449999999998,4.13135446917837,medium,0.5325,19.6,5.68,1,0
29,25-34,5.41,low,0.44,4.97,0.08133086876155268,0.08853118712273643,False,68.5,high,69.42625000000002,3.969620377000799,high,0.9725,43.0,6.93,1,0
42,35-44,8.6,medium,1.6,7.0,0.186046511627907,0.2285714285714286,False,56.0,medium,54.24424999999992,3.662767660867936,medium,0.9075,21.4,7.92,1,0
16,<18,9.13,medium,4.07,5.06,0.4457831325301205,0.8043478260869567,False,74.5,high,75.78500000000004,3.3277507418675474,high,0.81,52.8,6.84,0,0
36,35-44,9.26,medium,4.57,4.69,0.49352051835853133,0.9744136460554371,False,51.1,medium,48.98349999999996,4.682518312831253,medium,0.7775,5.1,7.09,0,0
30,25-34,6.61,low,1.82,4.79,0.27534039334341903,0.37995824634655534,False,60.5,high,58.940999999999974,4.2192379643722475,high,0.77,19.3,7.26,1,0
27,25-34,3.93,low,1.02,2.91,0.2595419847328244,0.35051546391752575,False,88.0,high,85.72649999999993,4.1097320776420405,high,0.9725,68.4,8.75,1,0
30,25-34,11.75,high,0.88,10.87,0.0748936170212766,0.08095676172953083,False,41.5,low,40.172250000000034,6.287022740335835,low,0.94,0.0,5.65,2,0
16,<18,7.58,low,0.38,7.2,0.05013192612137203,0.05277777777777778,False,67.7,high,79.15825000000004,4.412259278136318,high,0.9675,61.4,7.61,1,0
28,25-34,9.14,medium,1.99,7.15,0.21772428884026257,0.2783216783216783,False,45.5,low,46.614249999999984,3.8778243819827662,low,0.7975,11.7,7.89,2,0
32,25-34,5.44,low,0.45,4.99,0.08272058823529412,0.09018036072144288,False,88.3,high,84.5539999999997,5.909863280990533,high,0.945,56.1,8.18,1,0
41,35-44,9.86,medium,6.39,3.47,0.6480730223123732,1.8414985590778097,False,66.3,high,60.33275000000006,8.248063556829557,high,0.81,32.6,8.89,0,0
25,25-34,8.05,medium,1.1,6.95,0.13664596273291926,0.15827338129496404,False,55.9,medium,53.02974999999984,4.019208869603576,medium,0.93,17.5,6.72,1,0
25,25-34,6.32,low,1.72,4.6,0.2721518987341772,0.3739130434782609,False,64.4,high,63.64774999999997,6.708378711544241,high,0.9825,30.8,7.32,1,0
37,35-44,10.3,high,2.73,7.57,0.26504854368932035,0.3606340819022457,False,50.4,medium,48.705250000000014,4.377550392342728,medium,0.7825,12.2,7.91,2,0
32,25-34,9.24,medium,2.53,6.71,0.2738095238095238,0.3770491803278688,False,46.5,low,46.98700000000002,4.2632007928316,low,0.8175,5.0,7.03,1,0
25,25-34,8.29,medium,1.0,7.29,0.12062726176115804,0.13717421124828533,False,58.3,high,61.142249999999734,4.48556461747013,high,0.9375,34.5,6.8,1,0
34,25-34,5.52,low,0.92,4.6,0.16666666666666669,0.2,False,68.7,high,65.91349999999983,4.2032805937743465,high,0.9875,38.1,8.66,1,0
30,25-34,9.13,medium,2.42,6.71,0.2650602409638554,0.36065573770491804,False,43.9,low,43.972249999999946,2.183026554465158,low,0.76,0.0,6.64,1,0
37,35-44,9.81,medium,2.46,7.35,0.25076452599388377,0.3346938775510204,False,40.6,low,42.62200000000013,3.635321993991731,low,0.855,0.0,5.87,2,0
24,18-24,7.75,low,0.96,6.79,0.12387096774193548,0.14138438880706922,False,57.1,medium,55.00849999999982,4.263270780750401,medium,0.905,10.7,6.76,1,0
27,25-34,7.05,low,0.62,6.43,0.08794326241134752,0.0964230171073095,False,49.9,medium,52.280000000000015,4.19494338460007,medium,0.8375,14.4,7.81,1,0
18,18-24,10.17,high,1.01,9.16,0.0993117010816126,0.11026200873362445,False,51.5,medium,48.26250000000001,5.3333098306773685,medium,0.7325,0.0,6.84,2,0
32,25-34,7.94,medium,2.93,5.01,0.3690176322418136,0.5848303393213573,False,53.5,medium,52.92574999999997,2.888124293983903,medium,0.845,18.7,8.28,1,0
32,25-34,9.58,medium,3.64,5.94,0.37995824634655534,0.6127946127946128,False,48.4,medium,47.87874999999999,3.8426193459019626,medium,0.83,6.1,5.9,0,0
30,25-34,3.69,low,0.67,3.02,0.1815718157181572,0.2218543046357616,False,61.4,high,61.94774999999995,5.821507101902397,high,0.9425,30.3,7.49,1,0
28,25-34,7.58,low,0.38,7.2,0.05013192612137203,0.05277777777777778,False,53.9,medium,54.210000000000065,2.8493332553423847,medium,0.5975,24.2,7.01,1,0
18,18-24,9.82,medium,5.22,4.6,0.5315682281059063,1.1347826086956523,False,58.5,high,55.353249999999996,4.929111424739745,high,0.645,10.7,6.72,0,0
26,25-34,8.53,medium,0.43,8.1,0.05041031652989449,0.05308641975308642,False,45.4,low,48.25674999999984,5.3572758410875245,low,0.6875,6.7,7.15,2,0
27,25-34,7.32,low,0.61,6.71,0.08333333333333333,0.09090909090909091,False,74.8,high,68.83700000000005,5.742519568969696,high,0.9675,41.4,7.82,1,0
23,18-24,4.3,low,0.48,3.82,0.11162790697674418,0.1256544502617801,False,66.8,high,64.6214999999997,4.176288753187459,high,0.8225,27.3,7.33,1,0
33,25-34,4.89,low,0.62,4.27,0.12678936605316973,0.14519906323185014,False,68.3,high,68.49374999999975,3.356208565852247,high,0.975,39.9,7.66,1,0
45,45-54,11.1,high,4.95,6.15,0.445945945945946,0.8048780487804877,False,36.1,low,39.14975000000016,6.259944084215118,low,0.8625,8.8,6.14,0,0
31,25-34,10.84,high,0.58,10.26,0.05350553505535055,0.056530214424951264,False,36.4,low,37.540249999999816,3.6913418884600815,low,0.915,0.3,6.69,2,0
32,25-34,13.9,high,5.84,8.06,0.4201438848920863,0.7245657568238213,False,26.0,low,32.94775000000001,10.35950746597055,low,0.8275,8.7,6.22,0,0
29,25-34,12.05,high,2.66,9.39,0.22074688796680497,0.2832800851970181,False,44.8,low,43.39399999999981,3.853973793372245,low,0.965,4.1,6.45,2,0
16,<18,6.34,low,0.35,5.99,0.055205047318611984,0.05843071786310517,False,86.8,high,76.7232499999999,7.014195209537591,high,0.985,54.7,7.33,1,0
29,25-34,11.04,high,0.85,10.19,0.07699275362318841,0.08341511285574092,False,42.3,low,41.98074999999977,4.690288310701157,low,0.905,4.7,6.79,2,0
30,25-34,11.19,high,5.16,6.03,0.4611260053619303,0.8557213930348259,False,35.9,low,38.11524999999982,4.564339211485062,low,0.8775,2.5,6.38,0,0
49,45-54,10.05,high,0.5,9.55,0.04975124378109452,0.05235602094240837,False,56.7,medium,59.76350000000025,6.339942251314286,medium,0.6875,32.0,8.1,2,0
28,25-34,11.94,high,0.6,11.34,0.05025125628140704,0.05291005291005291,False,37.3,low,39.619749999999826,5.961080853125551,low,0.9225,0.9,5.65,2,0
32,25-34,7.8,low,4.17,3.63,0.5346153846153846,1.1487603305785123,False,52.6,medium,52.051999999999914,3.1206723634498896,medium,0.8575,14.3,6.67,0,0
29,25-34,11.23,high,2.25,8.98,0.20035618878005343,0.2505567928730512,False,55.1,medium,57.6344999999998,5.17809421988438,high,0.665,28.6,8.93,2,0
20,18-24,8.7,medium,1.4,7.3,0.16091954022988506,0.1917808219178082,False,56.2,medium,44.00299999999997,5.922954583651648,medium,0.7725,2.7,6.16,1,0
36,35-44,10.12,high,4.82,5.3,0.47628458498023724,0.9094339622641511,False,47.2,medium,46.236000000000004,7.610670404110266,medium,0.8475,5.0,7.53,0,0
36,35-44,10.04,medium,2.11,7.93,0.2101593625498008,0.266078184110971,False,52.1,medium,49.185499999999976,5.8540276519674865,low,0.745,6.1,5.29,2,0
22,18-24,6.42,low,0.32,6.1,0.04984423676012461,0.05245901639344263,False,73.0,high,71.3185,4.3762435661192285,high,0.98,42.7,7.17,1,0
41,35-44,9.58,medium,2.08,7.5,0.21711899791231734,0.2773333333333333,False,80.4,high,70.68925000000026,12.528026957087015,high,0.8025,30.5,8.79,2,0
18,18-24,7.77,low,1.17,6.6,0.15057915057915058,0.17727272727272728,False,40.9,low,42.70749999999992,3.2933939560884653,medium,0.535,0.0,5.88,1,0
34,25-34,7.85,low,1.44,6.41,0.1834394904458599,0.22464898595943836,False,70.8,high,47.20725000000007,6.097255320018998,high,0.6575,8.7,5.68,1,0
47,45-54,6.0,low,0.3,5.7,0.049999999999999996,0.05263157894736842,False,49.3,medium,50.10299999999973,4.572487397467592,high,0.4875,9.6,6.47,1,0
22,18-24,9.23,medium,0.73,8.5,0.07908992416034669,0.08588235294117647,False,67.4,high,71.81925000000031,6.027628425633101,high,0.92,52.1,7.65,2,0
25,25-34,11.27,high,1.99,9.28,0.17657497781721385,0.2144396551724138,False,59.5,high,61.55349999999999,4.746497419150256,high,0.905,41.2,7.56,2,0
30,25-34,9.05,medium,5.35,3.7,0.5911602209944751,1.4459459459459458,False,40.9,low,42.38099999999984,3.48021393020602,low,0.4475,0.9,6.63,0,0
25,25-34,8.07,medium,0.75,7.32,0.09293680297397769,0.10245901639344263,False,56.7,medium,57.830750000000045,4.757801954421807,medium,0.8075,26.9,7.69,1,0
17,<18,5.52,low,1.16,4.36,0.21014492753623187,0.2660550458715596,False,79.0,high,80.59824999999995,3.8047564885942347,high,0.99,67.8,8.55,1,0
30,25-34,10.27,high,0.96,9.31,0.0934761441090555,0.10311493018259935,False,60.0,high,60.65650000000001,3.9735887746469127,high,0.8275,33.5,8.29,2,0
21,18-24,9.59,medium,4.62,4.97,0.48175182481751827,0.9295774647887325,False,56.1,medium,52.65649999999995,5.5409482717311045,medium,0.91,6.5,6.67,0,0
33,25-34,12.19,high,2.56,9.63,0.2100082034454471,0.26583592938733125,False,39.4,low,39.20974999999984,3.4641203699496415,low,0.985,0.2,4.76,2,0
22,18-24,6.09,low,3.86,2.23,0.6338259441707718,1.7309417040358743,False,64.1,high,59.578749999999935,4.486376426192976,high,0.82,18.6,6.75,1,0
42,35-44,5.87,low,0.31,5.56,0.05281090289608177,0.05575539568345324,False,68.8,high,69.75474999999962,3.6941138907050575,high,0.97,43.9,7.3,1,0
23,18-24,9.65,medium,3.25,6.4,0.33678756476683935,0.5078125,False,50.5,medium,45.80524999999997,7.0536655320124115,medium,0.8175,4.7,6.68,0,0
27,25-34,9.13,medium,1.44,7.69,0.15772179627601313,0.1872561768530559,False,34.4,low,38.846999999999845,6.287482882680487,low,0.7925,4.4,6.85,2,0
36,35-44,5.07,low,1.21,3.86,0.23865877712031555,0.3134715025906736,False,79.1,high,78.85249999999954,3.02109975836614,high,0.9725,45.7,8.59,1,0
20,18-24,8.14,medium,1.22,6.92,0.14987714987714987,0.17630057803468208,False,56.2,medium,55.5860000000002,2.4799604835561424,medium,0.865,22.3,8.1,1,0
31,25-34,11.85,high,1.91,9.94,0.16118143459915613,0.1921529175050302,False,41.2,low,41.11875000000021,3.8165656600535423,low,0.87,2.5,6.5,2,0
40,35-44,10.39,high,1.58,8.81,0.15206929740134745,0.1793416572077185,False,73.6,high,72.83974999999963,3.8084964142690163,high,0.8425,50.3,7.82,2,0
17,<18,3.76,low,0.78,2.98,0.20744680851063832,0.26174496644295303,False,79.6,high,81.13799999999955,4.135995164407222,high,0.97,60.1,7.99,1,0
31,25-34,5.9,low,0.34,5.56,0.0576271186440678,0.061151079136690656,False,67.1,high,71.40149999999969,6.1971644927337435,high,0.97,49.3,7.58,1,0
32,25-34,8.76,medium,1.86,6.9,0.2123287671232877,0.26956521739130435,False,54.4,medium,55.08600000000012,4.758203862803695,medium,0.7875,30.2,7.83,1,0
36,35-44,12.18,high,1.91,10.27,0.1568144499178982,0.18597857838364168,False,36.4,low,37.726749999999896,3.561216005453749,low,0.93,0.0,6.69,2,0
19,18-24,8.7,medium,4.17,4.53,0.4793103448275862,0.9205298013245032,False,44.2,low,46.93150000000023,4.991814074061659,low,0.705,8.0,5.83,0,0
34,25-34,7.18,low,1.47,5.71,0.20473537604456826,0.2574430823117338,False,64.8,high,69.68024999999994,6.433178447509446,high,0.9525,43.7,6.95,1,0
32,25-34,9.11,medium,0.93,8.18,0.10208562019758509,0.11369193154034231,False,45.4,low,48.10699999999997,4.741249940680211,low,0.715,20.3,6.95,2,0
32,25-34,7.47,low,0.37,7.1,0.049531459170013385,0.05211267605633803,False,37.9,low,40.41674999999981,4.44768416566419,medium,0.5075,1.7,7.65,1,0
32,25-34,8.97,medium,1.93,7.04,0.21516164994425863,0.27414772727272724,False,51.0,medium,53.529500000000034,4.860923754802166,medium,0.79,29.9,8.09,1,0
24,18-24,7.98,medium,0.7,7.28,0.08771929824561403,0.09615384615384615,False,50.4,medium,49.840250000000005,3.7463855831320827,medium,0.8225,7.9,7.12,1,0
31,25-34,7.22,low,1.48,5.74,0.20498614958448755,0.2578397212543554,False,48.5,medium,49.22874999999999,2.7305857315784787,medium,0.885,9.6,6.19,1,0
32,25-34,7.16,low,1.04,6.12,0.1452513966480447,0.16993464052287582,False,77.9,high,78.72175000000037,3.364469042434485,high,0.9475,59.8,8.02,1,0
44,35-44,9.52,medium,0.48,9.04,0.05042016806722689,0.05309734513274337,False,44.6,low,45.455250000000014,3.2827842508303857,low,0.8225,0.6,5.56,2,0
33,25-34,12.39,high,3.06,9.33,0.2469733656174334,0.3279742765273312,False,37.7,low,38.843000000000174,6.2138797059486,low,0.9025,7.7,6.57,2,0
20,18-24,8.8,medium,4.08,4.72,0.4636363636363636,0.864406779661017,False,58.2,medium,56.87650000000025,2.852121622582043,medium,0.935,16.0,5.71,0,0
35,35-44,8.99,medium,0.51,8.48,0.05672969966629588,0.060141509433962265,False,55.6,medium,53.25824999999986,4.727211856633896,medium,0.795,20.2,6.57,2,0
22,18-24,9.69,medium,1.16,8.53,0.1197110423116615,0.13599062133645956,False,45.5,low,46.03674999999996,2.9207147134733975,low,0.5575,0.0,6.14,2,0
36,35-44,9.75,medium,0.49,9.26,0.050256410256410255,0.052915766738660906,False,52.8,medium,51.41824999999977,4.091869002974079,medium,0.7775,13.0,7.64,2,0
23,18-24,12.06,high,6.27,5.79,0.5199004975124377,1.082901554404145,False,43.2,low,40.90725000000019,5.074019357225597,low,0.875,0.0,5.49,0,0
37,35-44,7.64,low,3.89,3.75,0.5091623036649215,1.0373333333333334,False,70.1,high,72.93474999999965,4.484937840985091,high,0.9025,48.9,8.03,0,0
33,25-34,10.26,high,1.07,9.19,0.10428849902534114,0.11643090315560393,False,42.6,low,40.734749999999956,6.166004981955495,low,0.8125,0.0,5.74,2,0
36,35-44,5.57,low,1.06,4.51,0.19030520646319568,0.23503325942350334,False,73.2,high,76.08425000000028,4.745853657404546,high,0.985,58.5,7.89,1,0
45,45-54,8.32,medium,2.99,5.33,0.359375,0.5609756097560976,False,49.6,medium,51.140999999999934,3.5564756431051316,medium,0.495,22.6,6.65,1,0
28,25-34,10.63,high,1.09,9.54,0.10253998118532455,0.11425576519916145,False,50.3,medium,50.39324999999976,3.7777677850153943,medium,0.75,18.0,6.49,2,0
23,18-24,11.09,high,1.18,9.91,0.10640216411181244,0.11907164480322906,False,44.2,low,41.452000000000155,4.840030578415798,low,0.8075,0.0,7.07,2,0
22,18-24,6.55,low,0.33,6.22,0.05038167938931298,0.053054662379421226,False,61.2,high,60.21275000000015,3.5044988853615004,high,0.81,19.9,7.75,1,0
23,18-24,10.33,high,4.76,5.57,0.46079380445304935,0.8545780969479353,False,57.9,medium,58.948250000000115,4.3893617915934104,medium,0.8,28.3,7.85,0,0
29,25-34,9.98,medium,1.34,8.64,0.1342685370741483,0.1550925925925926,False,35.5,low,38.709250000000004,5.235884780770096,low,0.7175,8.3,6.83,2,0
32,25-34,7.99,medium,0.4,7.59,0.05006257822277847,0.05270092226613966,False,57.4,medium,58.80875000000021,5.3753603076910155,medium,0.7525,28.9,7.47,1,0
32,25-34,11.22,high,3.89,7.33,0.34670231729055256,0.5306957708049114,False,39.3,low,38.574249999999836,3.774249850963768,low,0.9475,0.0,6.39,0,0
36,35-44,4.1,low,0.21,3.89,0.051219512195121955,0.05398457583547558,False,79.1,high,77.66224999999952,5.342494729758749,high,0.9925,45.3,7.99,1,0
30,25-34,10.48,high,5.65,4.83,0.5391221374045801,1.1697722567287785,False,36.8,low,38.44649999999978,4.843355009701439,low,0.875,0.0,7.18,0,0
41,35-44,8.57,medium,1.57,7.0,0.18319719953325556,0.22428571428571428,False,52.8,medium,52.61174999999968,2.599439735308358,medium,0.915,17.4,7.15,1,0
27,25-34,8.16,medium,2.48,5.68,0.30392156862745096,0.4366197183098592,False,62.4,high,57.46850000000004,6.520859433387596,high,0.8525,30.0,5.7,1,0
35,35-44,4.56,low,0.57,3.99,0.125,0.14285714285714285,False,75.6,high,77.21049999999951,3.588389576119065,high,0.98,47.3,8.06,1,0
23,18-24,9.88,medium,1.74,8.14,0.17611336032388664,0.21375921375921375,False,51.3,medium,51.06949999999974,3.4939547435535103,medium,0.47,15.0,6.3,2,0
